Question,Category,Difficulty,Correct,Wrong1,Wrong2,Wrong3
Ποιος κατέκτησε το χρυσό μετάλλιο στο μήκος των Ολυμπιακών Αγώνων του Τόκιο 2021;,1,2,Μίλτoς Τεντόγλου,Χουάν Μιγκέλ Ετσεβαρία,Τζουβaughn Harrison,Φαμπρης Ζαντιέ
Ποια ομάδα κατέκτησε το EuroBasket 2022;,1,2,Ισπανία,Γαλλία,Γερμανία,Πολωνία
Ποιος είναι ο πρώτος σκόρερ στην ιστορία του ελληνικού πρωταθλήματος μπάσκετ;,1,2,Βασίλης Σπανούλης,Νίκος Γκάλης,Παναγιώτης Γιαννάκης,Φραγκίσκος Αλβέρτης
Ποια χώρα φιλοξένησε το Παγκόσμιο Κύπελλο Ποδοσφαίρου 2022;,1,1,Κατάρ,Σαουδική Αραβία,ΗΑΕ,Μπαχρέιν
Ποιος είναι ο παίκτης με τις περισσότερες ασίστ στην ιστορία του NBA;,1,3,Τζον Στόκτον,Τζέισον Κidd,Στιβ Νας,Μάτζικ Τζόνσον
Ποιος κατέκτησε το Γουίμπλεντον ανδρών το 2023;,1,2,Κάρλος Αλκαράθ,Νόβακ Τζόκοβιτς,Νικ Kyrgios,Γιάννικ Σίνερ
Ποια ομάδα κέρδισε το UEFA Europa League 2022-2023;,1,2,Σεβίλλη,Ρόμα,Γιουβέντους,Μπάγερ Λεβερκούζεν
Ποιος έχει το ρεκόρ των περισσότερων γκολ σε μια σεζόν της Premier League;,1,3,Αλαν Σίρερ,Μοχάμεντ Σαλάχ,Έρλινγκ Χάαλαντ,Αντι Σκο
Ποια ομάδα έχει τα περισσότερα πρωταθλήματα NHL;,1,3,Μοντρεάλ Κανάντιενς,Τορόντο Μέιπλ Λιφς,Ντιτρόιτ Ρεντ Γουίνγκς,Σικαγό Μπλακχωκς
Ποιος κέρδισε το Παγκόσμιο Πρωτάθλημα F1 το 2023;,1,2,Μαξ Φερστάπεν,Λιούις Χάμιλτον,Φερνάντο Αλόνσο,Σαρλ Λεκλέρ
Ποιος κατέκτησε το χρυσό μετάλλιο στα 100μ εμπόδιο γυναικών στους Ολυμπιακούς του Τόκιο;,1,2,Τζασμίν Κάματσο-Κουίν,Κεντ Χάρρισον,Μπριάνα ΜακΝίλ,Ναδίνε Visser
Ποια χώρα κατέκτησε το Παγκόσμιο Κύπελλο Κρίκετ 2023;,1,2,Αυστραλία,Ινδία,Αγγλία,Νέα Ζηλανδία
Ποιος είναι ο πρώτος σκόρερ στην ιστορία της εθνικής ομάδας ποδοσφαίρου της Αργεντινής;,1,2,Λιονέλ Μέσι,Γκαμπριέλ Μπατιστούτα,Σέρχιο Αγουέρο,Ντιέγκο Μαραντόνα
Ποιος κατέκτησε το Παγκόσμιο Πρωτάθλημα Ράλι (WRC) το 2023;,1,3,Κάλε Ροβανπέρα,Σεμπαστιάν Οζιέ,Οτ Τάνακ,Τιερί Νεββίλ
Ποιος είναι ο αθλητής με τα περισσότερα χρυσά Ολυμπιακά μετάλλια στην ιστορία;,1,3,Μάικλ Φελπς,Καρλ Λιούις,Γιούζιν Μπόλτ,Πααβο Nurmi
Ποιος είναι ο παίκτης με τις περισσότερες κάρτες στην ιστορία του Champions League;,1,3,Σέρχιο Ράμος,Τζέραρντ Πικέ,Παολίο Μальδίνι,Γκαέθ Μπάλε
Ποιος είναι ο παίκτης με τα περισσότερα rebounds στην ιστορία του NBA;,1,3,Γουίλτ Τσάμπερλεϊν,Μπιλ Ράσελ,Κάριμ Αμπντούλ Τζαμπάρ,Τίμ Ντάνκαν
Ποια ομάδα κέρδισε το UEFA Conference League 2022-2023;,1,2,Γουέστ Χαμ,Φιορεντίνα,ΑΖ Άλκμααρ,Μπάγερ Λεβερκούζεν
Ποιος είναι ο πρώτος σκόρερ στην ιστορία της εθνικής ομάδας ποδοσφαίρου της Πορτογαλίας;,1,2,Κριστιάνο Ρονάλντο,Παουλέτα,Εουσέμπιο,Λουίς Figo
Ποιος είναι ο παίκτης με τα περισσότερα γκολ στην ιστορία της Serie A;,1,3,Σίλβιο Πιόλα,Φραντσέσκο Τόττι,Γκαμπριέλ Μπατιστούτα,Ρομπέρτο Μπάτζιο
Ποια ομάδα κέρδισε το UEFA Super Cup 2023;,1,2,Μάντσεστερ Σίτι,Σεβίλλη,Ρεάλ Μαδρίτης,Μπάγερν Μονάχου
